shots_on_goal_local,shots_on_goal_away,shots_off_goal_local,shots_off_goal_away,total_shots_local,total_shots_away,blocked_shots_local,blocked_shots_away,shots_insidebox_local,shots_insidebox_away,shots_outsidebox_local,shots_outsidebox_away,fouls_local,fouls_away,corners_local,corners_away,offsides_local,offsides_away,ball_possession_local,ball_possession_away,yellow_cards_local,yellow_cards_away,red_cards_local,red_cards_away,goalkeeper_saves_local,goalkeeper_saves_away,pass_precision_local,pass_precision_away,fixture_id_2
5.0,1.0,6.0,3.0,14.0,7.0,3.0,3.0,13.0,2.0,1.0,5.0,21.0,16.0,6.0,7.0,3.0,1.0,45%,55%,3,3,,,1.0,2.0,342.0,417.0,214142
10.0,2.0,11.0,3.0,23.0,8.0,2.0,3.0,17.0,4.0,6.0,4.0,13.0,13.0,10.0,2.0,3.0,,56%,44%,3,2,,,1.0,8.0,437.0,341.0,214143
5.0,1.0,4.0,4.0,18.0,10.0,9.0,5.0,11.0,3.0,7.0,7.0,12.0,15.0,9.0,2.0,2.0,1.0,49%,51%,2,2,,,,2.0,413.0,417.0,214144
7.0,5.0,3.0,1.0,10.0,6.0,,,5.0,2.0,5.0,4.0,18.0,14.0,2.0,2.0,1.0,3.0,60%,40%,4,1,,,4.0,3.0,681.0,426.0,214145
5.0,6.0,8.0,4.0,18.0,10.0,5.0,,13.0,8.0,5.0,2.0,12.0,21.0,4.0,4.0,3.0,2.0,54%,46%,2,3,,,4.0,4.0,444.0,372.0,214146
1.0,5.0,10.0,3.0,15.0,10.0,4.0,2.0,10.0,8.0,5.0,2.0,9.0,8.0,6.0,6.0,1.0,2.0,41%,59%,,,,,1.0,1.0,399.0,576.0,214147
5.0,1.0,6.0,1.0,14.0,4.0,3.0,2.0,9.0,1.0,5.0,3.0,15.0,16.0,9.0,5.0,5.0,4.0,52%,48%,2,4,,,1.0,5.0,339.0,310.0,214148
3.0,6.0,2.0,6.0,5.0,22.0,,10.0,3.0,12.0,2.0,10.0,18.0,17.0,2.0,5.0,1.0,,34%,66%,2,3,,,5.0,,284.0,571.0,214149
5.0,2.0,2.0,3.0,10.0,6.0,3.0,1.0,7.0,4.0,3.0,2.0,14.0,23.0,5.0,1.0,1.0,6.0,66%,34%,2,6,,1.0,1.0,4.0,507.0,260.0,214150
4.0,1.0,3.0,7.0,12.0,13.0,5.0,5.0,6.0,4.0,6.0,9.0,11.0,15.0,7.0,4.0,3.0,,48%,52%,,5,,,1.0,2.0,379.0,404.0,214151
8.0,3.0,11.0,4.0,25.0,9.0,6.0,2.0,17.0,6.0,8.0,3.0,9.0,13.0,5.0,4.0,2.0,3.0,61%,39%,2,2,,,2.0,6.0,509.0,317.0,214152
7.0,5.0,6.0,2.0,19.0,7.0,6.0,,11.0,7.0,8.0,,10.0,11.0,10.0,4.0,1.0,1.0,58%,42%,1,2,,,4.0,7.0,384.0,290.0,214153
2.0,2.0,3.0,6.0,6.0,11.0,1.0,3.0,5.0,5.0,1.0,6.0,23.0,12.0,3.0,3.0,5.0,2.0,53%,47%,3,4,,,1.0,1.0,385.0,331.0,214154
3.0,6.0,2.0,5.0,9.0,17.0,4.0,6.0,4.0,13.0,5.0,4.0,15.0,17.0,2.0,8.0,1.0,6.0,40%,60%,4,3,,,5.0,2.0,334.0,482.0,214155
4.0,6.0,5.0,2.0,9.0,11.0,,3.0,5.0,7.0,4.0,4.0,11.0,10.0,,6.0,1.0,1.0,23%,77%,1,2,,,4.0,3.0,220.0,722.0,214156
6.0,7.0,5.0,5.0,13.0,14.0,2.0,2.0,9.0,11.0,4.0,3.0,13.0,9.0,3.0,6.0,,1.0,50%,50%,2,1,1.0,,6.0,4.0,421.0,414.0,214157
7.0,4.0,5.0,1.0,12.0,6.0,,1.0,8.0,4.0,4.0,2.0,15.0,18.0,6.0,2.0,6.0,3.0,58%,42%,4,3,,,2.0,6.0,416.0,301.0,214158
10.0,6.0,5.0,3.0,18.0,11.0,3.0,2.0,12.0,6.0,6.0,5.0,13.0,16.0,4.0,3.0,3.0,2.0,53%,47%,1,1,,,5.0,7.0,537.0,478.0,214159
1.0,7.0,12.0,3.0,15.0,11.0,2.0,1.0,9.0,8.0,6.0,3.0,12.0,9.0,8.0,2.0,2.0,1.0,59%,41%,3,2,,,4.0,,554.0,384.0,214160
1.0,2.0,5.0,1.0,7.0,4.0,1.0,1.0,4.0,4.0,3.0,,13.0,25.0,8.0,4.0,1.0,1.0,46%,54%,3,4,,1.0,1.0,1.0,395.0,480.0,214161
2.0,6.0,3.0,5.0,8.0,12.0,3.0,1.0,6.0,7.0,2.0,5.0,18.0,11.0,9.0,4.0,2.0,5.0,35%,65%,4,3,,,4.0,1.0,340.0,630.0,214162
6.0,1.0,3.0,5.0,14.0,9.0,5.0,3.0,11.0,3.0,3.0,6.0,18.0,16.0,4.0,3.0,2.0,1.0,57%,43%,5,4,,,1.0,4.0,425.0,317.0,214163
2.0,5.0,7.0,3.0,17.0,13.0,8.0,5.0,12.0,4.0,5.0,9.0,12.0,11.0,9.0,5.0,2.0,1.0,34%,66%,4,4,,,4.0,2.0,327.0,684.0,214164
5.0,2.0,3.0,6.0,13.0,9.0,5.0,1.0,10.0,2.0,3.0,7.0,11.0,16.0,11.0,3.0,1.0,1.0,58%,42%,1,3,,,2.0,5.0,515.0,377.0,214165
5.0,8.0,3.0,2.0,12.0,14.0,4.0,4.0,8.0,8.0,4.0,6.0,12.0,16.0,2.0,3.0,7.0,2.0,52%,48%,1,4,,1.0,4.0,3.0,416.0,369.0,214166
9.0,2.0,1.0,2.0,13.0,7.0,3.0,3.0,7.0,5.0,6.0,2.0,22.0,14.0,6.0,7.0,3.0,9.0,38%,62%,2,3,,,2.0,5.0,250.0,417.0,214167
7.0,3.0,7.0,9.0,16.0,16.0,2.0,4.0,8.0,12.0,8.0,4.0,16.0,15.0,6.0,5.0,4.0,2.0,45%,55%,3,4,1.0,,1.0,6.0,381.0,476.0,214168
4.0,4.0,6.0,3.0,15.0,10.0,5.0,3.0,9.0,7.0,6.0,3.0,8.0,12.0,6.0,4.0,3.0,3.0,62%,38%,1,4,,,3.0,,506.0,297.0,214169
8.0,4.0,5.0,3.0,16.0,8.0,3.0,1.0,13.0,6.0,3.0,2.0,16.0,7.0,7.0,4.0,1.0,3.0,62%,38%,3,4,,,4.0,6.0,622.0,373.0,214170
7.0,7.0,4.0,9.0,14.0,24.0,3.0,8.0,9.0,16.0,5.0,8.0,8.0,17.0,6.0,4.0,2.0,,41%,59%,1,2,,,6.0,5.0,392.0,547.0,214171
17.0,3.0,5.0,4.0,25.0,9.0,3.0,2.0,21.0,6.0,4.0,3.0,15.0,10.0,8.0,4.0,2.0,,65%,35%,3,,,,1.0,14.0,716.0,364.0,214172
6.0,2.0,3.0,4.0,10.0,8.0,1.0,2.0,8.0,3.0,2.0,5.0,12.0,15.0,3.0,3.0,1.0,,49%,51%,2,4,,,,3.0,403.0,399.0,214173
3.0,3.0,3.0,2.0,6.0,6.0,,1.0,3.0,5.0,3.0,1.0,16.0,15.0,3.0,8.0,2.0,6.0,53%,47%,5,1,1.0,,2.0,3.0,297.0,256.0,214174
3.0,1.0,5.0,4.0,13.0,5.0,5.0,,9.0,2.0,4.0,3.0,16.0,17.0,6.0,2.0,2.0,,51%,49%,1,4,,2.0,1.0,,317.0,307.0,214175
8.0,4.0,3.0,4.0,15.0,9.0,4.0,1.0,6.0,5.0,9.0,4.0,14.0,11.0,3.0,5.0,,1.0,33%,67%,3,5,,1.0,2.0,6.0,273.0,552.0,214176
6.0,6.0,7.0,4.0,17.0,10.0,4.0,,9.0,8.0,8.0,2.0,14.0,14.0,5.0,1.0,,3.0,49%,51%,5,2,1.0,,3.0,4.0,432.0,453.0,214177
1.0,4.0,8.0,5.0,10.0,13.0,1.0,4.0,5.0,9.0,5.0,4.0,22.0,10.0,2.0,6.0,3.0,7.0,39%,61%,4,4,1.0,,4.0,,318.0,503.0,214178
8.0,2.0,6.0,2.0,18.0,6.0,4.0,2.0,12.0,4.0,6.0,2.0,15.0,13.0,5.0,3.0,,1.0,60%,40%,4,3,1.0,,2.0,6.0,528.0,344.0,214179
3.0,3.0,10.0,9.0,23.0,18.0,10.0,6.0,16.0,12.0,7.0,6.0,11.0,11.0,11.0,6.0,,3.0,53%,47%,2,1,,,3.0,3.0,510.0,462.0,214180
2.0,2.0,2.0,9.0,4.0,16.0,,5.0,2.0,10.0,2.0,6.0,10.0,19.0,1.0,4.0,5.0,2.0,33%,67%,,4,,,2.0,2.0,287.0,569.0,214181
3.0,1.0,4.0,1.0,10.0,3.0,3.0,1.0,9.0,3.0,1.0,,14.0,17.0,2.0,,2.0,2.0,68%,32%,2,3,,,,2.0,567.0,262.0,214182
3.0,2.0,2.0,5.0,8.0,8.0,3.0,1.0,4.0,5.0,4.0,3.0,7.0,12.0,6.0,7.0,9.0,3.0,55%,45%,3,3,,,2.0,3.0,373.0,295.0,214183
9.0,3.0,8.0,8.0,19.0,15.0,2.0,4.0,15.0,8.0,4.0,7.0,16.0,10.0,6.0,5.0,6.0,,47%,53%,1,1,,,3.0,7.0,397.0,433.0,214184
7.0,2.0,7.0,3.0,18.0,8.0,4.0,3.0,13.0,7.0,5.0,1.0,14.0,16.0,3.0,3.0,2.0,1.0,66%,34%,3,5,,1.0,,4.0,514.0,248.0,214185
4.0,5.0,3.0,3.0,16.0,10.0,9.0,2.0,11.0,6.0,5.0,4.0,26.0,13.0,7.0,5.0,4.0,4.0,37%,63%,4,1,,,3.0,2.0,255.0,448.0,214186
3.0,3.0,4.0,2.0,7.0,10.0,,5.0,6.0,6.0,1.0,4.0,28.0,10.0,4.0,3.0,2.0,5.0,45%,55%,3,3,,,3.0,1.0,335.0,413.0,214187
4.0,6.0,9.0,5.0,18.0,13.0,5.0,2.0,9.0,4.0,9.0,9.0,14.0,12.0,8.0,6.0,1.0,1.0,47%,53%,4,3,,,4.0,3.0,316.0,348.0,214188
5.0,5.0,9.0,3.0,19.0,9.0,5.0,1.0,11.0,7.0,8.0,2.0,7.0,8.0,8.0,5.0,1.0,1.0,53%,47%,,1,,,2.0,3.0,570.0,500.0,214189
5.0,3.0,9.0,4.0,24.0,9.0,10.0,2.0,19.0,4.0,5.0,5.0,12.0,11.0,14.0,2.0,3.0,,72%,28%,2,,,,1.0,4.0,652.0,266.0,214190
6.0,6.0,2.0,8.0,9.0,19.0,1.0,5.0,9.0,11.0,,8.0,11.0,15.0,1.0,2.0,2.0,1.0,36%,64%,1,2,,,5.0,5.0,389.0,689.0,214191
4.0,3.0,2.0,2.0,8.0,5.0,2.0,,5.0,4.0,3.0,1.0,10.0,11.0,3.0,4.0,8.0,,69%,31%,2,4,,,2.0,,770.0,331.0,214192
2.0,5.0,7.0,2.0,15.0,8.0,6.0,1.0,9.0,7.0,6.0,1.0,11.0,14.0,5.0,3.0,2.0,2.0,67%,33%,4,3,,,4.0,1.0,594.0,285.0,214193
7.0,1.0,10.0,6.0,21.0,12.0,4.0,5.0,13.0,9.0,8.0,3.0,17.0,13.0,5.0,5.0,2.0,3.0,50%,50%,3,3,,,1.0,4.0,337.0,326.0,214194
5.0,3.0,5.0,3.0,11.0,9.0,1.0,3.0,4.0,6.0,7.0,3.0,11.0,15.0,1.0,5.0,2.0,1.0,40%,60%,1,6,,,3.0,3.0,266.0,383.0,214195
7.0,5.0,3.0,5.0,13.0,12.0,3.0,2.0,9.0,7.0,4.0,5.0,8.0,15.0,8.0,7.0,1.0,1.0,48%,52%,3,6,,,4.0,4.0,371.0,404.0,214196
1.0,6.0,5.0,6.0,8.0,13.0,2.0,1.0,2.0,9.0,6.0,4.0,15.0,12.0,3.0,6.0,5.0,2.0,39%,61%,5,3,,,4.0,1.0,306.0,489.0,214197
7.0,7.0,7.0,4.0,19.0,13.0,5.0,2.0,17.0,9.0,2.0,4.0,11.0,12.0,8.0,3.0,3.0,2.0,46%,54%,6,2,1.0,,3.0,4.0,329.0,399.0,214198
8.0,2.0,8.0,4.0,20.0,8.0,4.0,2.0,14.0,5.0,6.0,3.0,8.0,14.0,6.0,4.0,2.0,4.0,69%,31%,1,,,,2.0,8.0,718.0,327.0,214199
4.0,,6.0,7.0,11.0,7.0,1.0,,8.0,5.0,3.0,2.0,8.0,18.0,2.0,5.0,9.0,4.0,64%,36%,2,5,,1.0,,3.0,488.0,259.0,214200
6.0,2.0,4.0,3.0,14.0,5.0,4.0,,7.0,2.0,7.0,3.0,10.0,12.0,5.0,4.0,4.0,,47%,53%,,3,,,1.0,5.0,426.0,469.0,214201
1.0,3.0,3.0,7.0,6.0,10.0,2.0,,2.0,8.0,4.0,2.0,18.0,15.0,3.0,6.0,4.0,4.0,32%,68%,7,3,,1.0,2.0,,245.0,534.0,214202
8.0,3.0,7.0,2.0,17.0,6.0,2.0,1.0,12.0,4.0,5.0,2.0,9.0,10.0,5.0,5.0,2.0,2.0,39%,61%,1,3,,,2.0,6.0,330.0,497.0,214203
7.0,1.0,5.0,6.0,20.0,8.0,8.0,1.0,9.0,4.0,11.0,4.0,14.0,19.0,6.0,1.0,5.0,4.0,60%,40%,3,3,,,,6.0,495.0,311.0,214204
3.0,7.0,4.0,4.0,7.0,14.0,,3.0,4.0,12.0,3.0,2.0,17.0,11.0,4.0,5.0,1.0,1.0,31%,69%,2,2,,1.0,5.0,1.0,313.0,719.0,214205
4.0,7.0,6.0,2.0,15.0,9.0,5.0,,10.0,7.0,5.0,2.0,20.0,14.0,7.0,4.0,5.0,4.0,44%,56%,3,2,,,5.0,4.0,324.0,439.0,214206
4.0,5.0,2.0,9.0,7.0,17.0,1.0,3.0,5.0,13.0,2.0,4.0,23.0,11.0,3.0,4.0,2.0,,41%,59%,5,1,,,5.0,3.0,289.0,411.0,214207
2.0,2.0,5.0,7.0,10.0,14.0,3.0,5.0,6.0,7.0,4.0,7.0,16.0,14.0,7.0,2.0,2.0,1.0,63%,37%,5,4,,,,1.0,552.0,328.0,214208
2.0,1.0,5.0,4.0,9.0,6.0,2.0,1.0,6.0,2.0,3.0,4.0,16.0,20.0,9.0,1.0,3.0,2.0,65%,35%,2,4,,,,1.0,587.0,330.0,214209
1.0,3.0,4.0,3.0,9.0,10.0,4.0,4.0,8.0,4.0,1.0,6.0,13.0,20.0,6.0,5.0,4.0,3.0,51%,49%,1,3,,1.0,3.0,1.0,439.0,401.0,214210
5.0,5.0,6.0,7.0,14.0,12.0,3.0,,9.0,11.0,5.0,1.0,16.0,13.0,4.0,3.0,3.0,1.0,63%,37%,3,2,,,2.0,3.0,531.0,296.0,214211
6.0,3.0,10.0,3.0,22.0,7.0,6.0,1.0,15.0,4.0,7.0,3.0,18.0,12.0,13.0,,2.0,3.0,61%,39%,4,3,,,2.0,4.0,521.0,348.0,214212
6.0,1.0,6.0,3.0,18.0,5.0,6.0,1.0,9.0,1.0,9.0,4.0,11.0,17.0,7.0,,1.0,3.0,82%,18%,,4,,1.0,1.0,5.0,1002.0,207.0,214213
6.0,,4.0,5.0,14.0,7.0,4.0,2.0,12.0,3.0,2.0,4.0,8.0,10.0,6.0,2.0,5.0,4.0,47%,53%,3,1,,,,3.0,417.0,450.0,214214
4.0,4.0,4.0,5.0,9.0,12.0,1.0,3.0,5.0,7.0,4.0,5.0,16.0,14.0,6.0,7.0,,4.0,38%,62%,1,2,,,4.0,2.0,315.0,504.0,214215
2.0,4.0,4.0,2.0,8.0,8.0,2.0,2.0,6.0,6.0,2.0,2.0,22.0,17.0,4.0,4.0,,7.0,61%,39%,6,3,,,,2.0,389.0,243.0,214216
3.0,6.0,10.0,5.0,20.0,14.0,7.0,3.0,10.0,12.0,10.0,2.0,12.0,20.0,7.0,6.0,3.0,,53%,47%,2,4,,,5.0,3.0,393.0,339.0,214217
6.0,1.0,6.0,3.0,14.0,8.0,2.0,4.0,11.0,4.0,3.0,4.0,18.0,11.0,1.0,6.0,4.0,2.0,42%,58%,4,4,,1.0,,2.0,386.0,526.0,214218
5.0,3.0,8.0,2.0,21.0,5.0,8.0,,13.0,3.0,8.0,2.0,16.0,10.0,9.0,1.0,2.0,5.0,55%,45%,2,2,,,3.0,5.0,406.0,340.0,214219
4.0,3.0,7.0,4.0,13.0,8.0,2.0,1.0,6.0,6.0,7.0,2.0,17.0,12.0,2.0,4.0,1.0,4.0,52%,48%,3,1,,,2.0,2.0,547.0,508.0,214220
5.0,5.0,12.0,5.0,21.0,16.0,4.0,6.0,13.0,9.0,8.0,7.0,15.0,18.0,4.0,4.0,1.0,1.0,67%,33%,1,4,,1.0,3.0,4.0,546.0,265.0,214221
5.0,6.0,6.0,3.0,11.0,11.0,,2.0,7.0,7.0,4.0,4.0,10.0,12.0,7.0,4.0,4.0,3.0,53%,47%,2,1,,,4.0,4.0,451.0,387.0,214222
3.0,4.0,6.0,1.0,14.0,10.0,5.0,5.0,7.0,3.0,7.0,7.0,10.0,19.0,7.0,6.0,1.0,1.0,55%,45%,1,6,,1.0,4.0,3.0,484.0,374.0,214223
5.0,3.0,7.0,1.0,18.0,5.0,6.0,1.0,8.0,2.0,10.0,3.0,9.0,16.0,6.0,3.0,3.0,1.0,65%,35%,,,,,3.0,4.0,608.0,316.0,214224
3.0,3.0,5.0,7.0,9.0,11.0,1.0,1.0,4.0,7.0,5.0,4.0,14.0,14.0,2.0,3.0,1.0,2.0,50%,50%,3,1,,,3.0,2.0,414.0,400.0,214225
3.0,1.0,1.0,6.0,7.0,8.0,3.0,1.0,3.0,7.0,4.0,1.0,19.0,12.0,8.0,4.0,8.0,3.0,37%,63%,2,5,,1.0,1.0,2.0,221.0,412.0,214226
3.0,2.0,6.0,4.0,15.0,6.0,6.0,,12.0,2.0,3.0,4.0,18.0,11.0,5.0,5.0,2.0,2.0,55%,45%,3,3,,,2.0,2.0,389.0,320.0,214227
6.0,4.0,5.0,3.0,14.0,8.0,3.0,1.0,10.0,4.0,4.0,4.0,15.0,7.0,7.0,3.0,,1.0,69%,31%,,2,,,4.0,3.0,643.0,281.0,214228
4.0,1.0,5.0,2.0,12.0,8.0,3.0,5.0,8.0,6.0,4.0,2.0,13.0,18.0,3.0,6.0,3.0,1.0,58%,42%,4,1,,,1.0,2.0,488.0,338.0,214229
6.0,5.0,2.0,6.0,8.0,14.0,,3.0,7.0,7.0,1.0,7.0,13.0,16.0,2.0,,3.0,1.0,26%,74%,1,3,,,5.0,5.0,298.0,866.0,214230
,3.0,1.0,5.0,4.0,12.0,3.0,4.0,2.0,6.0,2.0,6.0,7.0,11.0,3.0,5.0,3.0,1.0,37%,63%,1,3,,,2.0,,369.0,618.0,214231
2.0,3.0,4.0,6.0,8.0,9.0,2.0,,7.0,6.0,1.0,3.0,11.0,19.0,5.0,4.0,8.0,,70%,30%,2,5,,,1.0,2.0,569.0,232.0,214232
9.0,5.0,8.0,5.0,23.0,10.0,6.0,,15.0,7.0,8.0,3.0,6.0,10.0,8.0,3.0,1.0,3.0,67%,33%,2,,,,4.0,6.0,755.0,355.0,214233
3.0,6.0,2.0,5.0,8.0,14.0,3.0,3.0,5.0,8.0,3.0,6.0,15.0,16.0,2.0,7.0,8.0,4.0,35%,65%,2,2,,,5.0,2.0,287.0,530.0,214234
2.0,4.0,6.0,10.0,8.0,22.0,,8.0,5.0,13.0,3.0,9.0,15.0,17.0,3.0,9.0,2.0,,45%,55%,3,3,,,3.0,,302.0,348.0,214235
5.0,1.0,4.0,1.0,12.0,2.0,3.0,,9.0,1.0,3.0,1.0,24.0,19.0,3.0,1.0,2.0,3.0,43%,57%,4,3,,,,3.0,310.0,427.0,214236
4.0,7.0,6.0,5.0,16.0,15.0,6.0,3.0,5.0,7.0,11.0,8.0,11.0,10.0,8.0,5.0,2.0,2.0,53%,47%,4,1,,,6.0,4.0,422.0,376.0,214237
5.0,1.0,8.0,3.0,16.0,4.0,3.0,,7.0,3.0,9.0,1.0,18.0,11.0,5.0,6.0,,1.0,65%,35%,2,2,,,1.0,4.0,649.0,347.0,214238
3.0,3.0,8.0,,14.0,4.0,3.0,1.0,10.0,2.0,4.0,2.0,13.0,12.0,6.0,1.0,2.0,2.0,74%,26%,2,1,,,2.0,2.0,688.0,247.0,214239
5.0,4.0,4.0,5.0,9.0,11.0,,2.0,7.0,7.0,2.0,4.0,14.0,20.0,4.0,7.0,1.0,1.0,50%,50%,6,3,,,3.0,4.0,450.0,453.0,214240
4.0,5.0,2.0,11.0,9.0,17.0,3.0,1.0,6.0,9.0,3.0,8.0,19.0,15.0,4.0,6.0,3.0,1.0,55%,45%,3,2,,,4.0,1.0,481.0,384.0,214241
5.0,1.0,3.0,2.0,9.0,5.0,1.0,2.0,7.0,1.0,2.0,4.0,16.0,10.0,3.0,5.0,2.0,4.0,38%,62%,3,2,,,,3.0,292.0,451.0,214242
3.0,2.0,2.0,6.0,6.0,10.0,1.0,2.0,3.0,4.0,3.0,6.0,16.0,19.0,2.0,3.0,6.0,,50%,50%,4,6,,,1.0,2.0,393.0,376.0,214243
3.0,6.0,1.0,2.0,7.0,10.0,3.0,2.0,3.0,9.0,4.0,1.0,21.0,17.0,,8.0,3.0,4.0,29%,71%,5,5,1.0,1.0,3.0,1.0,301.0,711.0,214244
7.0,4.0,3.0,5.0,13.0,11.0,3.0,2.0,8.0,6.0,5.0,5.0,16.0,14.0,3.0,4.0,,4.0,45%,55%,3,2,,,3.0,5.0,436.0,518.0,214245
7.0,3.0,3.0,3.0,12.0,7.0,2.0,1.0,8.0,4.0,4.0,3.0,25.0,15.0,1.0,7.0,1.0,1.0,38%,62%,6,2,,,3.0,6.0,324.0,511.0,214246
10.0,,8.0,3.0,22.0,5.0,4.0,2.0,13.0,3.0,9.0,2.0,12.0,6.0,10.0,,1.0,4.0,53%,47%,4,4,,1.0,,7.0,405.0,378.0,214247
5.0,4.0,2.0,7.0,9.0,12.0,2.0,1.0,6.0,7.0,3.0,5.0,18.0,15.0,2.0,2.0,3.0,2.0,48%,52%,2,3,,,4.0,3.0,379.0,382.0,214248
4.0,7.0,6.0,5.0,14.0,17.0,4.0,5.0,8.0,13.0,6.0,4.0,11.0,15.0,4.0,3.0,,3.0,45%,55%,2,2,,,2.0,3.0,420.0,509.0,214249
4.0,3.0,4.0,1.0,14.0,6.0,6.0,2.0,10.0,3.0,4.0,3.0,7.0,15.0,4.0,3.0,1.0,3.0,63%,37%,2,2,,1.0,2.0,2.0,508.0,285.0,214250
1.0,3.0,5.0,4.0,8.0,8.0,2.0,1.0,4.0,4.0,4.0,4.0,14.0,22.0,2.0,4.0,2.0,3.0,34%,66%,3,3,,,2.0,,312.0,605.0,214251
2.0,2.0,7.0,2.0,12.0,6.0,3.0,2.0,8.0,3.0,4.0,3.0,14.0,20.0,4.0,,4.0,2.0,65%,35%,4,4,,,1.0,2.0,514.0,280.0,214252
5.0,2.0,4.0,2.0,12.0,7.0,3.0,3.0,7.0,6.0,5.0,1.0,12.0,30.0,2.0,3.0,2.0,4.0,75%,25%,3,2,,,1.0,3.0,701.0,213.0,214253
4.0,2.0,4.0,2.0,14.0,6.0,6.0,2.0,7.0,6.0,7.0,,12.0,10.0,3.0,1.0,4.0,1.0,56%,44%,3,2,,,,3.0,507.0,387.0,214254
5.0,4.0,6.0,1.0,11.0,6.0,,1.0,10.0,3.0,1.0,3.0,19.0,13.0,10.0,5.0,2.0,1.0,53%,47%,2,2,,,3.0,2.0,390.0,348.0,214255
1.0,2.0,6.0,,11.0,3.0,4.0,1.0,6.0,3.0,5.0,,15.0,20.0,4.0,2.0,2.0,3.0,34%,66%,5,3,,1.0,2.0,1.0,292.0,587.0,214256
6.0,,6.0,6.0,14.0,10.0,2.0,4.0,10.0,7.0,4.0,3.0,16.0,15.0,8.0,5.0,,2.0,46%,54%,,2,,,,5.0,323.0,381.0,214257
4.0,3.0,9.0,1.0,15.0,5.0,2.0,1.0,9.0,4.0,6.0,1.0,10.0,10.0,9.0,3.0,3.0,1.0,65%,35%,2,2,,,1.0,2.0,648.0,344.0,214258
6.0,3.0,7.0,,18.0,5.0,5.0,2.0,10.0,2.0,8.0,3.0,17.0,9.0,9.0,2.0,4.0,1.0,67%,33%,2,4,,1.0,1.0,4.0,489.0,234.0,214259
3.0,3.0,4.0,4.0,9.0,8.0,2.0,1.0,5.0,2.0,4.0,6.0,12.0,16.0,11.0,4.0,1.0,2.0,63%,37%,3,2,,,1.0,1.0,560.0,333.0,214260
6.0,2.0,5.0,3.0,14.0,11.0,3.0,6.0,11.0,6.0,3.0,5.0,15.0,15.0,5.0,10.0,3.0,1.0,51%,49%,3,1,,,1.0,4.0,387.0,359.0,214261
4.0,4.0,,5.0,4.0,13.0,,4.0,4.0,7.0,,6.0,17.0,12.0,1.0,9.0,2.0,2.0,44%,56%,4,4,,,3.0,2.0,314.0,385.0,214262
9.0,4.0,2.0,5.0,17.0,10.0,6.0,1.0,8.0,4.0,9.0,6.0,14.0,6.0,6.0,1.0,2.0,,40%,60%,1,2,,,3.0,6.0,434.0,650.0,214263
11.0,5.0,1.0,4.0,13.0,12.0,1.0,3.0,12.0,6.0,1.0,6.0,8.0,19.0,5.0,5.0,8.0,4.0,69%,31%,,2,,,5.0,6.0,709.0,310.0,214264
6.0,4.0,11.0,4.0,19.0,11.0,2.0,3.0,12.0,6.0,7.0,5.0,13.0,12.0,7.0,1.0,1.0,1.0,69%,31%,2,1,,,1.0,3.0,620.0,273.0,214265
1.0,2.0,1.0,6.0,3.0,11.0,1.0,3.0,2.0,5.0,1.0,6.0,13.0,17.0,2.0,9.0,3.0,2.0,42%,58%,2,3,1.0,,2.0,,332.0,414.0,214266
2.0,5.0,5.0,3.0,10.0,8.0,3.0,,4.0,7.0,6.0,1.0,14.0,17.0,5.0,3.0,4.0,1.0,49%,51%,7,4,,,2.0,2.0,323.0,347.0,214267
2.0,7.0,3.0,8.0,8.0,19.0,3.0,4.0,4.0,13.0,4.0,6.0,16.0,10.0,3.0,7.0,,5.0,37%,63%,1,2,,,8.0,1.0,354.0,589.0,214268
1.0,4.0,7.0,5.0,14.0,10.0,6.0,1.0,9.0,7.0,5.0,3.0,19.0,11.0,6.0,3.0,4.0,8.0,61%,39%,3,1,,,1.0,1.0,445.0,282.0,214269
7.0,1.0,7.0,3.0,19.0,6.0,5.0,2.0,12.0,5.0,7.0,1.0,19.0,9.0,6.0,7.0,1.0,6.0,46%,54%,1,1,,,1.0,4.0,424.0,486.0,214270
6.0,2.0,10.0,2.0,21.0,6.0,5.0,2.0,8.0,4.0,13.0,2.0,10.0,18.0,4.0,2.0,1.0,,64%,36%,1,5,,1.0,1.0,4.0,427.0,243.0,214271
6.0,3.0,6.0,6.0,18.0,10.0,6.0,1.0,13.0,6.0,5.0,4.0,11.0,13.0,5.0,6.0,6.0,,43%,57%,6,6,,,3.0,5.0,320.0,428.0,214272
10.0,3.0,2.0,6.0,15.0,11.0,3.0,2.0,13.0,9.0,2.0,2.0,15.0,16.0,3.0,6.0,3.0,2.0,44%,56%,3,2,,,3.0,7.0,300.0,384.0,214273
3.0,2.0,5.0,1.0,9.0,5.0,1.0,2.0,6.0,3.0,3.0,2.0,20.0,18.0,3.0,4.0,1.0,1.0,37%,63%,3,4,,,1.0,3.0,292.0,486.0,214274
,2.0,7.0,3.0,14.0,6.0,7.0,1.0,7.0,3.0,7.0,3.0,14.0,11.0,6.0,1.0,3.0,4.0,40%,60%,3,5,,,2.0,,312.0,479.0,214275
6.0,4.0,7.0,3.0,19.0,8.0,6.0,1.0,10.0,5.0,9.0,3.0,18.0,18.0,6.0,4.0,2.0,,55%,45%,3,3,,,3.0,5.0,340.0,284.0,214276
1.0,5.0,1.0,3.0,4.0,9.0,2.0,1.0,1.0,8.0,3.0,1.0,13.0,24.0,4.0,3.0,8.0,,54%,46%,4,5,1.0,,4.0,1.0,405.0,328.0,214277
